,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,artist_name
1009,1009,0.699,0.791,7,-8.527,1,0.186,0.456,0.0,0.25,0.43,119.997,audio_features,0TsCBkrq3owPs06HP5Q9Z4,spotify:track:0TsCBkrq3owPs06HP5Q9Z4,https://api.spotify.com/v1/tracks/0TsCBkrq3owPs06HP5Q9Z4,https://api.spotify.com/v1/audio-analysis/0TsCBkrq3owPs06HP5Q9Z4,251986,4,R&B,RIIVERDANCE,Beyoncé
1010,1010,0.675,0.546,4,-7.716,0,0.0511,0.556,0.00441,0.167,0.607,77.415,audio_features,7DswEZZthZ6piQpL25qGAM,spotify:track:7DswEZZthZ6piQpL25qGAM,https://api.spotify.com/v1/tracks/7DswEZZthZ6piQpL25qGAM,https://api.spotify.com/v1/audio-analysis/7DswEZZthZ6piQpL25qGAM,184258,4,R&B,On My Mama,Victoria Monét
1011,1011,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,audio_features,3QS9ZCtoSCJhmaJ7QNXSAS,spotify:track:3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/tracks/3QS9ZCtoSCJhmaJ7QNXSAS,https://api.spotify.com/v1/audio-analysis/3QS9ZCtoSCJhmaJ7QNXSAS,231339,4,R&B,act ii: date @ 8 (feat. Drake) - remix,4batz
1012,1012,0.895,0.58,1,-7.373,0,0.199,0.713,0.000589,0.0934,0.368,122.55,audio_features,2ZqOCKuFkKhAZDRYI90EHb,spotify:track:2ZqOCKuFkKhAZDRYI90EHb,https://api.spotify.com/v1/tracks/2ZqOCKuFkKhAZDRYI90EHb,https://api.spotify.com/v1/audio-analysis/2ZqOCKuFkKhAZDRYI90EHb,160581,4,R&B,Moonlight,Arin Ray
1013,1013,0.654,0.367,7,-10.471,0,0.104,0.394,2.06e-06,0.162,0.191,109.708,audio_features,3VQ5lMMpas43wu1xIQuu0s,spotify:track:3VQ5lMMpas43wu1xIQuu0s,https://api.spotify.com/v1/tracks/3VQ5lMMpas43wu1xIQuu0s,https://api.spotify.com/v1/audio-analysis/3VQ5lMMpas43wu1xIQuu0s,178909,4,R&B,SAME MISTAKE,DESTIN CONRAD
1014,1014,0.674,0.602,7,-7.866,1,0.224,0.539,1.69e-06,0.0906,0.533,123.943,audio_features,1Y7vNzQrybb2ICYKmbOfdt,spotify:track:1Y7vNzQrybb2ICYKmbOfdt,https://api.spotify.com/v1/tracks/1Y7vNzQrybb2ICYKmbOfdt,https://api.spotify.com/v1/audio-analysis/1Y7vNzQrybb2ICYKmbOfdt,341312,4,R&B,II HANDS II HEAVEN,Beyoncé
1015,1015,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,audio_features,1bjeWoagtHmUKputLVyDxQ,spotify:track:1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ,186192,4,R&B,Saturn,SZA
1016,1016,0.7,0.564,10,-6.363,0,0.22,0.111,0.0,0.71,0.247,75.085,audio_features,2Y27Z57KII6aZFhZKQj6s8,spotify:track:2Y27Z57KII6aZFhZKQj6s8,https://api.spotify.com/v1/tracks/2Y27Z57KII6aZFhZKQj6s8,https://api.spotify.com/v1/audio-analysis/2Y27Z57KII6aZFhZKQj6s8,211200,4,R&B,YOU,SiR
1017,1017,0.61,0.647,10,-5.128,0,0.2,0.401,0.0,0.0744,0.585,89.874,audio_features,49v5ttae4SvGE6XqfP7PY4,spotify:track:49v5ttae4SvGE6XqfP7PY4,https://api.spotify.com/v1/tracks/49v5ttae4SvGE6XqfP7PY4,https://api.spotify.com/v1/audio-analysis/49v5ttae4SvGE6XqfP7PY4,169941,4,R&B,Persuasion (feat. Victoria Monét),Bryson Tiller
1018,1018,0.806,0.342,9,-7.503,1,0.075,0.201,0.0176,0.0758,0.937,92.985,audio_features,1zgHn1EqUyA0HqNYMdJ5ia,spotify:track:1zgHn1EqUyA0HqNYMdJ5ia,https://api.spotify.com/v1/tracks/1zgHn1EqUyA0HqNYMdJ5ia,https://api.spotify.com/v1/audio-analysis/1zgHn1EqUyA0HqNYMdJ5ia,82581,4,R&B,Best Time,Brent Faiyaz
1019,1019,0.566,0.633,1,-12.054,0,0.396,0.0548,0.0,0.218,0.182,185.256,audio_features,2zDIscsZmt8z44nf3UFMxh,spotify:track:2zDIscsZmt8z44nf3UFMxh,https://api.spotify.com/v1/tracks/2zDIscsZmt8z44nf3UFMxh,https://api.spotify.com/v1/audio-analysis/2zDIscsZmt8z44nf3UFMxh,134733,4,R&B,put yo gun 2 use ontheradar freestyle,4batz
1020,1020,0.404,0.557,6,-8.204,0,0.154,0.0515,0.0,0.167,0.135,142.302,audio_features,0WkfQ4SJqsKrixNQNYSMsq,spotify:track:0WkfQ4SJqsKrixNQNYSMsq,https://api.spotify.com/v1/tracks/0WkfQ4SJqsKrixNQNYSMsq,https://api.spotify.com/v1/audio-analysis/0WkfQ4SJqsKrixNQNYSMsq,144490,3,R&B,BIRTHDAY DANCE,Josh Levi
1021,1021,0.526,0.459,0,-8.784,0,0.164,0.464,0.0,0.229,0.342,139.387,audio_features,3JmmzgSs6VvBa3gQzcijsm,spotify:track:3JmmzgSs6VvBa3gQzcijsm,https://api.spotify.com/v1/tracks/3JmmzgSs6VvBa3gQzcijsm,https://api.spotify.com/v1/audio-analysis/3JmmzgSs6VvBa3gQzcijsm,168075,4,R&B,When It Comes To You,Fridayy
1022,1022,0.291,0.376,7,-11.91,1,0.0502,0.0354,2.04e-05,0.11,0.174,178.399,audio_features,6x4z51Q0PBhSs8NoGbJ5wk,spotify:track:6x4z51Q0PBhSs8NoGbJ5wk,https://api.spotify.com/v1/tracks/6x4z51Q0PBhSs8NoGbJ5wk,https://api.spotify.com/v1/audio-analysis/6x4z51Q0PBhSs8NoGbJ5wk,182073,4,R&B,From A Woman,Mariah the Scientist
1023,1023,0.551,0.518,0,-6.7,1,0.193,0.468,0.0,0.107,0.35,195.893,audio_features,3XloH0C8QYXgbYPmXlxf2x,spotify:track:3XloH0C8QYXgbYPmXlxf2x,https://api.spotify.com/v1/tracks/3XloH0C8QYXgbYPmXlxf2x,https://api.spotify.com/v1/audio-analysis/3XloH0C8QYXgbYPmXlxf2x,181646,4,R&B,Ruin,USHER
1024,1024,0.876,0.767,5,-5.276,1,0.0946,0.00907,0.00297,0.105,0.433,121.022,audio_features,3qeMtqV38UWPZfps7mPTUE,spotify:track:3qeMtqV38UWPZfps7mPTUE,https://api.spotify.com/v1/tracks/3qeMtqV38UWPZfps7mPTUE,https://api.spotify.com/v1/audio-analysis/3qeMtqV38UWPZfps7mPTUE,147047,4,R&B,No.1 (feat. Tems),Tyla
1025,1025,0.496,0.723,10,-6.625,0,0.0413,0.0254,0.0171,0.218,0.321,130.477,audio_features,6KS5iyM4uDuJ6oAacMSXha,spotify:track:6KS5iyM4uDuJ6oAacMSXha,https://api.spotify.com/v1/tracks/6KS5iyM4uDuJ6oAacMSXha,https://api.spotify.com/v1/audio-analysis/6KS5iyM4uDuJ6oAacMSXha,189440,5,R&B,Princess Going Digital,Amaarae
1026,1026,0.428,0.604,7,-3.819,0,0.0413,0.55,0.0,0.0926,0.555,110.061,audio_features,5IVhQWFgCahKesfuioh4OG,spotify:track:5IVhQWFgCahKesfuioh4OG,https://api.spotify.com/v1/tracks/5IVhQWFgCahKesfuioh4OG,https://api.spotify.com/v1/audio-analysis/5IVhQWFgCahKesfuioh4OG,209202,4,R&B,FYS,Chlöe
